epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7056,1.90578,13.6834,1.59651,0,0,0,0,1.36854,2.76311,1.15145,0.00332709,0.00332709,0.00332709
2,102.454,2.08587,4.15991,1.69407,0.45455,0.04167,0.24083,0.06257,1.75324,2.7026,1.54302,0.00659449,0.00659449,0.00659449
3,143.065,2.55441,3.80323,2.12307,0.00743,0.075,0.00526,0.00164,2.11671,8.52239,1.84062,0.00979588,0.00979588,0.00979588
4,182.986,2.69394,4.19236,2.35141,0.16667,0.01667,0.09389,0.04221,1.87939,2.90098,1.79383,0.009703,0.009703,0.009703
5,223.032,2.64557,3.63458,2.32632,0.06327,0.34167,0.10883,0.03109,1.88608,3.24409,1.86982,0.009604,0.009604,0.009604
6,263.124,2.46611,3.17378,2.1826,0.17231,0.44414,0.16297,0.0542,1.72811,2.16368,1.65923,0.009505,0.009505,0.009505
7,303.21,2.33735,3.01315,2.09456,0.16314,0.48333,0.1864,0.06955,1.66298,2.21681,1.71681,0.009406,0.009406,0.009406
8,343.296,2.24766,2.84254,1.97674,0.23226,0.375,0.22101,0.07143,1.70901,2.03783,1.58644,0.009307,0.009307,0.009307
9,383.358,2.20712,2.70504,1.97018,0.2078,0.425,0.2272,0.07894,1.66299,2.44424,1.58773,0.009208,0.009208,0.009208
10,423.478,2.23952,2.72349,1.95776,0.20552,0.49797,0.27089,0.1006,1.54883,2.24295,1.49859,0.009109,0.009109,0.009109
11,463.614,2.18727,2.6308,1.90284,0.32312,0.5,0.31052,0.12262,1.55537,1.9852,1.47146,0.00901,0.00901,0.00901
12,503.832,2.1508,2.54505,1.85652,0.29493,0.50833,0.32212,0.13222,1.4787,1.88724,1.42724,0.008911,0.008911,0.008911
13,544.098,2.0724,2.44448,1.8238,0.37604,0.5,0.41518,0.16159,1.41231,2.00721,1.42025,0.008812,0.008812,0.008812
14,584.294,2.05868,2.39798,1.82909,0.40568,0.525,0.44879,0.19432,1.38018,1.80066,1.37356,0.008713,0.008713,0.008713
15,624.467,2.05044,2.33539,1.78076,0.41492,0.60833,0.45195,0.165,1.35706,2.10597,1.33534,0.008614,0.008614,0.008614
16,664.658,2.06208,2.37247,1.78078,0.48938,0.65,0.56277,0.23844,1.40314,1.79221,1.34247,0.008515,0.008515,0.008515
17,704.921,2.04232,2.24547,1.76874,0.49012,0.49665,0.46007,0.21468,1.37824,1.73893,1.37037,0.008416,0.008416,0.008416
18,745.166,1.96107,2.23728,1.70393,0.43272,0.56667,0.4851,0.22668,1.45479,1.67075,1.40083,0.008317,0.008317,0.008317
19,785.36,1.95179,2.12602,1.70223,0.53266,0.5794,0.5679,0.22849,1.4237,1.71479,1.3886,0.008218,0.008218,0.008218
20,825.585,1.97079,2.1544,1.71579,0.50516,0.62103,0.55795,0.2645,1.36504,1.64465,1.31114,0.008119,0.008119,0.008119
21,865.819,1.94495,2.13163,1.69733,0.57327,0.59167,0.59029,0.26792,1.36597,1.53391,1.29821,0.00802,0.00802,0.00802
22,906.189,1.94111,2.10972,1.71749,0.55993,0.575,0.54584,0.22638,1.40997,1.63966,1.38468,0.007921,0.007921,0.007921
23,946.392,1.89616,2.12848,1.65307,0.55673,0.575,0.60699,0.26444,1.36039,1.70108,1.32411,0.007822,0.007822,0.007822
24,987.187,1.95583,2.04499,1.64819,0.58503,0.59167,0.59749,0.25317,1.31017,1.71039,1.28602,0.007723,0.007723,0.007723
25,1027.86,1.85044,2.03259,1.61134,0.64634,0.59167,0.616,0.29203,1.33388,1.53047,1.31478,0.007624,0.007624,0.007624
26,1068.5,1.87816,1.96592,1.64186,0.50617,0.62355,0.56402,0.27869,1.30558,1.76485,1.26167,0.007525,0.007525,0.007525
27,1108.74,1.84989,1.96849,1.59887,0.63057,0.65833,0.7078,0.30403,1.30678,1.46121,1.2809,0.007426,0.007426,0.007426
28,1149.14,1.85932,1.9561,1.61125,0.66064,0.63333,0.67252,0.28099,1.34497,1.52859,1.29099,0.007327,0.007327,0.007327
29,1189.29,1.8421,1.94319,1.6042,0.62534,0.60833,0.62379,0.27416,1.30918,1.52941,1.26614,0.007228,0.007228,0.007228
30,1229.54,1.80099,1.84986,1.57953,0.6643,0.65833,0.71502,0.33361,1.26837,1.64419,1.24746,0.007129,0.007129,0.007129
31,1269.71,1.78821,1.96241,1.55696,0.68351,0.6,0.66156,0.33377,1.26056,1.48148,1.22106,0.00703,0.00703,0.00703
32,1309.82,1.74017,1.89798,1.51466,0.79416,0.64305,0.73714,0.35278,1.28511,1.50925,1.25163,0.006931,0.006931,0.006931
33,1350.11,1.78015,1.90281,1.5821,0.68316,0.66482,0.6517,0.28135,1.31105,1.61462,1.2706,0.006832,0.006832,0.006832
34,1390.44,1.82491,1.84886,1.59153,0.71939,0.65833,0.71782,0.30757,1.27983,1.71513,1.25051,0.006733,0.006733,0.006733
35,1430.66,1.74451,1.7473,1.54624,0.65691,0.71802,0.7374,0.34995,1.25034,1.64519,1.22209,0.006634,0.006634,0.006634
36,1470.94,1.79013,1.83407,1.56872,0.73398,0.64382,0.7619,0.38042,1.24935,1.42366,1.21185,0.006535,0.006535,0.006535
37,1511.35,1.7702,1.79331,1.53843,0.70255,0.69167,0.69634,0.32079,1.33528,1.59526,1.2745,0.006436,0.006436,0.006436
38,1551.46,1.69625,1.75934,1.49998,0.72779,0.69167,0.74022,0.37113,1.22735,1.5322,1.21159,0.006337,0.006337,0.006337
39,1591.75,1.76936,1.74936,1.56072,0.73574,0.71927,0.76408,0.36609,1.25805,1.44882,1.23143,0.006238,0.006238,0.006238
40,1632.07,1.76723,1.76621,1.5779,0.75424,0.725,0.79702,0.39,1.21278,1.57062,1.20939,0.006139,0.006139,0.006139
41,1672.27,1.69994,1.71431,1.47584,0.75706,0.72714,0.78673,0.38777,1.24059,1.48681,1.18551,0.00604,0.00604,0.00604
42,1712.66,1.81191,1.70716,1.5821,0.66984,0.727,0.74437,0.34618,1.19696,1.7078,1.20271,0.005941,0.005941,0.005941
43,1752.78,1.71399,1.73187,1.47526,0.72312,0.75,0.80446,0.39878,1.1761,1.52427,1.16821,0.005842,0.005842,0.005842
44,1793.07,1.75834,1.76645,1.53076,0.74066,0.71402,0.79442,0.40672,1.19349,1.42392,1.17726,0.005743,0.005743,0.005743
45,1833.21,1.66359,1.66743,1.46828,0.71099,0.69167,0.7744,0.38631,1.20051,1.46712,1.18445,0.005644,0.005644,0.005644
46,1873.47,1.71761,1.7014,1.52066,0.74625,0.71071,0.78445,0.3691,1.21875,1.48547,1.1924,0.005545,0.005545,0.005545
47,1913.6,1.63928,1.62064,1.45729,0.77241,0.725,0.81723,0.40893,1.17928,1.49717,1.17538,0.005446,0.005446,0.005446
48,1966.26,1.64826,1.64687,1.45137,0.73136,0.71667,0.80853,0.42712,1.16861,1.46555,1.16091,0.005347,0.005347,0.005347
49,2006.72,1.68862,1.64974,1.47443,0.81705,0.75833,0.81725,0.40744,1.22445,1.49335,1.20305,0.005248,0.005248,0.005248
50,2046.95,1.63264,1.56596,1.47491,0.82829,0.72356,0.83322,0.4295,1.1904,1.43681,1.16404,0.005149,0.005149,0.005149
51,2088,1.68178,1.64855,1.49804,0.78876,0.74167,0.83487,0.42954,1.21765,1.45914,1.19236,0.00505,0.00505,0.00505
52,2128.23,1.63731,1.59298,1.45592,0.7657,0.73531,0.81562,0.42787,1.23633,1.34848,1.20502,0.004951,0.004951,0.004951
53,2168.42,1.64606,1.61809,1.45591,0.81023,0.67604,0.7942,0.41668,1.17521,1.33637,1.17014,0.004852,0.004852,0.004852
54,2208.78,1.67234,1.6275,1.47828,0.76613,0.79168,0.84359,0.4319,1.19097,1.40015,1.16374,0.004753,0.004753,0.004753
55,2249.03,1.62299,1.54688,1.41857,0.80371,0.78477,0.86978,0.45261,1.19306,1.27574,1.15125,0.004654,0.004654,0.004654
56,2289.52,1.6661,1.566,1.46684,0.84064,0.74167,0.86583,0.43372,1.20053,1.35416,1.16405,0.004555,0.004555,0.004555
57,2330.18,1.64433,1.53833,1.4509,0.81851,0.76667,0.86002,0.44171,1.22358,1.23359,1.18586,0.004456,0.004456,0.004456
58,2371.29,1.59296,1.58009,1.41091,0.84558,0.70833,0.84905,0.45772,1.1868,1.30877,1.15841,0.004357,0.004357,0.004357
59,2424.24,1.60577,1.55442,1.42842,0.85894,0.71045,0.862,0.46209,1.18803,1.31477,1.16418,0.004258,0.004258,0.004258
60,2464.93,1.61995,1.54974,1.41839,0.80178,0.75833,0.86652,0.45748,1.21244,1.30238,1.18191,0.004159,0.004159,0.004159
61,2505.36,1.58072,1.50339,1.41975,0.85834,0.74167,0.87154,0.45278,1.19525,1.15956,1.16057,0.00406,0.00406,0.00406
62,2545.9,1.61287,1.51083,1.41218,0.80037,0.76844,0.85046,0.45337,1.18178,1.21046,1.16578,0.003961,0.003961,0.003961
63,2586.28,1.58626,1.47343,1.40099,0.84511,0.77295,0.8777,0.45425,1.2219,1.20079,1.19028,0.003862,0.003862,0.003862
64,2626.89,1.62129,1.46244,1.43931,0.79191,0.84167,0.89095,0.47805,1.20228,1.21005,1.17655,0.003763,0.003763,0.003763
65,2667.41,1.55374,1.44994,1.36468,0.834,0.71179,0.83637,0.47386,1.21508,1.26603,1.19523,0.003664,0.003664,0.003664
66,2707.88,1.57087,1.4539,1.37969,0.8316,0.7819,0.86283,0.47258,1.17475,1.31942,1.14538,0.003565,0.003565,0.003565
67,2748.42,1.556,1.44894,1.39824,0.82949,0.8,0.89323,0.4959,1.10345,1.28167,1.10768,0.003466,0.003466,0.003466
68,2788.95,1.54601,1.4167,1.35362,0.89724,0.72765,0.8733,0.48415,1.14976,1.20431,1.12478,0.003367,0.003367,0.003367
69,2829.47,1.56431,1.46757,1.37029,0.75893,0.8133,0.86957,0.48862,1.11326,1.20137,1.11386,0.003268,0.003268,0.003268
